"DateTime","Самарская обл."
2020-03-12 00:00:00,0
2020-03-13 00:00:00,0
2020-03-14 00:00:00,0
2020-03-15 00:00:00,0
2020-03-16 00:00:00,3
2020-03-17 00:00:00,2
2020-03-18 00:00:00,0
2020-03-19 00:00:00,0
2020-03-20 00:00:00,4
2020-03-21 00:00:00,0
2020-03-22 00:00:00,0
2020-03-23 00:00:00,0
2020-03-24 00:00:00,1
2020-03-25 00:00:00,0
2020-03-26 00:00:00,2
2020-03-27 00:00:00,2
2020-03-28 00:00:00,0
2020-03-29 00:00:00,0
2020-03-30 00:00:00,0
2020-03-31 00:00:00,1
2020-04-01 00:00:00,0
2020-04-02 00:00:00,2
2020-04-03 00:00:00,0
2020-04-04 00:00:00,0
2020-04-05 00:00:00,0
2020-04-06 00:00:00,0
2020-04-07 00:00:00,0
2020-04-08 00:00:00,1
2020-04-09 00:00:00,0
2020-04-10 00:00:00,2
2020-04-11 00:00:00,1
2020-04-12 00:00:00,3
2020-04-13 00:00:00,5
2020-04-14 00:00:00,11
2020-04-15 00:00:00,0
2020-04-16 00:00:00,10
2020-04-17 00:00:00,13
2020-04-18 00:00:00,1
2020-04-19 00:00:00,15
2020-04-20 00:00:00,16
2020-04-21 00:00:00,8
2020-04-22 00:00:00,12
2020-04-23 00:00:00,26
2020-04-24 00:00:00,44
2020-04-25 00:00:00,24
2020-04-26 00:00:00,20
2020-04-27 00:00:00,35
2020-04-28 00:00:00,8
2020-04-29 00:00:00,55
2020-04-30 00:00:00,40
2020-05-01 00:00:00,25
2020-05-02 00:00:00,41
2020-05-03 00:00:00,85
2020-05-04 00:00:00,60
2020-05-05 00:00:00,17
2020-05-06 00:00:00,81
2020-05-07 00:00:00,67
2020-05-08 00:00:00,59
2020-05-09 00:00:00,75
2020-05-10 00:00:00,74
2020-05-11 00:00:00,66
2020-05-12 00:00:00,66
2020-05-13 00:00:00,79
2020-05-14 00:00:00,84
2020-05-15 00:00:00,56
2020-05-16 00:00:00,70
2020-05-17 00:00:00,65
2020-05-18 00:00:00,66
2020-05-19 00:00:00,65
2020-05-20 00:00:00,98
2020-05-21 00:00:00,74
2020-05-22 00:00:00,74
2020-05-23 00:00:00,86
2020-05-24 00:00:00,121
2020-05-25 00:00:00,97
2020-05-26 00:00:00,87
2020-05-27 00:00:00,135
2020-05-28 00:00:00,97
2020-05-29 00:00:00,48
2020-05-30 00:00:00,42
2020-05-31 00:00:00,85
2020-06-01 00:00:00,36
2020-06-02 00:00:00,76
2020-06-03 00:00:00,46
2020-06-04 00:00:00,63
2020-06-05 00:00:00,89
2020-06-06 00:00:00,104
2020-06-07 00:00:00,88
2020-06-08 00:00:00,86
2020-06-09 00:00:00,46
2020-06-10 00:00:00,113
2020-06-11 00:00:00,111
2020-06-12 00:00:00,78
2020-06-13 00:00:00,146
2020-06-14 00:00:00,110
2020-06-15 00:00:00,106
2020-06-16 00:00:00,70
2020-06-17 00:00:00,44
2020-06-18 00:00:00,76
2020-06-19 00:00:00,83
2020-06-20 00:00:00,67
2020-06-21 00:00:00,75
2020-06-22 00:00:00,63
2020-06-23 00:00:00,63
2020-06-24 00:00:00,51
2020-06-25 00:00:00,55
2020-06-26 00:00:00,60
2020-06-27 00:00:00,59
2020-06-28 00:00:00,62
2020-06-29 00:00:00,48
2020-06-30 00:00:00,51
2020-07-01 00:00:00,63
2020-07-02 00:00:00,73
2020-07-03 00:00:00,77
2020-07-04 00:00:00,87
2020-07-05 00:00:00,127
2020-07-06 00:00:00,135
2020-07-07 00:00:00,102
2020-07-08 00:00:00,75
2020-07-09 00:00:00,68
2020-07-10 00:00:00,77
2020-07-11 00:00:00,83
2020-07-12 00:00:00,78
2020-07-13 00:00:00,72
2020-07-14 00:00:00,65
2020-07-15 00:00:00,59
2020-07-16 00:00:00,57
2020-07-17 00:00:00,62
2020-07-18 00:00:00,62
2020-07-19 00:00:00,61
2020-07-20 00:00:00,60
2020-07-21 00:00:00,57
2020-07-22 00:00:00,52
2020-07-23 00:00:00,49
2020-07-24 00:00:00,42
2020-07-25 00:00:00,39
2020-07-26 00:00:00,41
2020-07-27 00:00:00,37
2020-07-28 00:00:00,32
2020-07-29 00:00:00,32
2020-07-30 00:00:00,36
2020-07-31 00:00:00,43
2020-08-01 00:00:00,43
2020-08-02 00:00:00,47
2020-08-03 00:00:00,45
2020-08-04 00:00:00,36
2020-08-05 00:00:00,34
2020-08-06 00:00:00,44
2020-08-07 00:00:00,42
2020-08-08 00:00:00,43
2020-08-09 00:00:00,48
2020-08-10 00:00:00,50
2020-08-11 00:00:00,48
2020-08-12 00:00:00,52
2020-08-13 00:00:00,51
2020-08-14 00:00:00,49
2020-08-15 00:00:00,50
2020-08-16 00:00:00,53
2020-08-17 00:00:00,45
2020-08-18 00:00:00,43
2020-08-19 00:00:00,43
2020-08-20 00:00:00,44
2020-08-21 00:00:00,44
2020-08-22 00:00:00,50
2020-08-23 00:00:00,64
2020-08-24 00:00:00,73
2020-08-25 00:00:00,75
2020-08-26 00:00:00,70
2020-08-27 00:00:00,74
2020-08-28 00:00:00,75
2020-08-29 00:00:00,75
2020-08-30 00:00:00,76
2020-08-31 00:00:00,79
2020-09-01 00:00:00,81
2020-09-02 00:00:00,97
2020-09-03 00:00:00,98
2020-09-04 00:00:00,107
2020-09-05 00:00:00,105
2020-09-06 00:00:00,101
2020-09-07 00:00:00,102
2020-09-08 00:00:00,98
2020-09-09 00:00:00,101
2020-09-10 00:00:00,105
2020-09-11 00:00:00,107
2020-09-12 00:00:00,106
2020-09-13 00:00:00,111
2020-09-14 00:00:00,120
2020-09-15 00:00:00,122
2020-09-16 00:00:00,121
2020-09-17 00:00:00,125
2020-09-18 00:00:00,123
2020-09-19 00:00:00,115
2020-09-20 00:00:00,114
2020-09-21 00:00:00,112
2020-09-22 00:00:00,112
2020-09-23 00:00:00,111
2020-09-24 00:00:00,110
2020-09-25 00:00:00,111
2020-09-26 00:00:00,111
2020-09-27 00:00:00,110
2020-09-28 00:00:00,110
2020-09-29 00:00:00,111
2020-09-30 00:00:00,110
2020-10-01 00:00:00,112
2020-10-02 00:00:00,112
2020-10-03 00:00:00,111
2020-10-04 00:00:00,114
2020-10-05 00:00:00,111
2020-10-06 00:00:00,115
2020-10-07 00:00:00,119
2020-10-08 00:00:00,118
2020-10-09 00:00:00,121
2020-10-10 00:00:00,125
2020-10-11 00:00:00,127
2020-10-12 00:00:00,129
2020-10-13 00:00:00,128
2020-10-14 00:00:00,130
2020-10-15 00:00:00,134
2020-10-16 00:00:00,136
2020-10-17 00:00:00,140
2020-10-18 00:00:00,139
2020-10-19 00:00:00,141
2020-10-20 00:00:00,142
2020-10-21 00:00:00,143
2020-10-22 00:00:00,145
2020-10-23 00:00:00,144
2020-10-24 00:00:00,143
2020-10-25 00:00:00,147
2020-10-26 00:00:00,148
2020-10-27 00:00:00,151
2020-10-28 00:00:00,161
2020-10-29 00:00:00,167
2020-10-30 00:00:00,170
2020-10-31 00:00:00,173
2020-11-01 00:00:00,178
2020-11-02 00:00:00,185
2020-11-03 00:00:00,183
2020-11-04 00:00:00,187
2020-11-05 00:00:00,189
2020-11-06 00:00:00,188
2020-11-07 00:00:00,190
2020-11-08 00:00:00,188
2020-11-09 00:00:00,191
2020-11-10 00:00:00,191
2020-11-11 00:00:00,195
2020-11-12 00:00:00,197
2020-11-13 00:00:00,205
2020-11-14 00:00:00,211
2020-11-15 00:00:00,215
2020-11-16 00:00:00,217
2020-11-17 00:00:00,216
2020-11-18 00:00:00,216
2020-11-19 00:00:00,218
2020-11-20 00:00:00,220
2020-11-21 00:00:00,225
2020-11-22 00:00:00,231
2020-11-23 00:00:00,234
2020-11-24 00:00:00,237
2020-11-25 00:00:00,240
2020-11-26 00:00:00,242
2020-11-27 00:00:00,245
2020-11-28 00:00:00,248
2020-11-29 00:00:00,251
2020-11-30 00:00:00,254
2020-12-01 00:00:00,255
2020-12-02 00:00:00,263
2020-12-03 00:00:00,260
2020-12-04 00:00:00,266
2020-12-05 00:00:00,269
2020-12-06 00:00:00,271
2020-12-07 00:00:00,274
2020-12-08 00:00:00,278
2020-12-09 00:00:00,281
2020-12-10 00:00:00,283
2020-12-11 00:00:00,288
2020-12-12 00:00:00,290
2020-12-13 00:00:00,291
2020-12-14 00:00:00,295
2020-12-15 00:00:00,296
2020-12-16 00:00:00,301
2020-12-17 00:00:00,300
2020-12-18 00:00:00,302
2020-12-19 00:00:00,305
2020-12-20 00:00:00,307
2020-12-21 00:00:00,305
2020-12-22 00:00:00,304
2020-12-23 00:00:00,307
2020-12-24 00:00:00,305
2020-12-25 00:00:00,306
2020-12-26 00:00:00,307
2020-12-27 00:00:00,311
2020-12-28 00:00:00,310
2020-12-29 00:00:00,307
2020-12-30 00:00:00,305
2020-12-31 00:00:00,304
2021-01-01 00:00:00,303
2021-01-02 00:00:00,300
2021-01-03 00:00:00,301
2021-01-04 00:00:00,298
2021-01-05 00:00:00,294
2021-01-06 00:00:00,291
2021-01-07 00:00:00,287
2021-01-08 00:00:00,285
2021-01-09 00:00:00,283
2021-01-10 00:00:00,280
2021-01-11 00:00:00,279
2021-01-12 00:00:00,278
2021-01-13 00:00:00,279
2021-01-14 00:00:00,282
2021-01-15 00:00:00,283
2021-01-16 00:00:00,287
2021-01-17 00:00:00,287
2021-01-18 00:00:00,288
2021-01-19 00:00:00,286
2021-01-20 00:00:00,285
2021-01-21 00:00:00,287
2021-01-22 00:00:00,286
2021-01-23 00:00:00,284
2021-01-24 00:00:00,285
2021-01-25 00:00:00,283
2021-01-26 00:00:00,279
2021-01-27 00:00:00,275
2021-01-28 00:00:00,273
2021-01-29 00:00:00,277
2021-01-30 00:00:00,305
2021-01-31 00:00:00,307
2021-02-01 00:00:00,305
2021-02-02 00:00:00,300
2021-02-03 00:00:00,301
2021-02-04 00:00:00,300
2021-02-05 00:00:00,303
2021-02-06 00:00:00,302
2021-02-07 00:00:00,301
2021-02-08 00:00:00,300
2021-02-09 00:00:00,300
2021-02-10 00:00:00,302
2021-02-11 00:00:00,301
2021-02-12 00:00:00,300
2021-02-13 00:00:00,298
2021-02-14 00:00:00,299
2021-02-15 00:00:00,297
2021-02-16 00:00:00,297
2021-02-17 00:00:00,294
2021-02-18 00:00:00,296
2021-02-19 00:00:00,292
2021-02-20 00:00:00,290
2021-02-21 00:00:00,287
2021-02-22 00:00:00,285
2021-02-23 00:00:00,283
2021-02-24 00:00:00,280
2021-02-25 00:00:00,278
2021-02-26 00:00:00,279
2021-02-27 00:00:00,280
2021-02-28 00:00:00,281
2021-03-01 00:00:00,278
2021-03-02 00:00:00,275
2021-03-03 00:00:00,273
2021-03-04 00:00:00,271
2021-03-05 00:00:00,273
2021-03-06 00:00:00,270
2021-03-07 00:00:00,268
2021-03-08 00:00:00,263
2021-03-09 00:00:00,260
2021-03-10 00:00:00,254
2021-03-11 00:00:00,250
2021-03-12 00:00:00,252
2021-03-13 00:00:00,246
2021-03-14 00:00:00,240
2021-03-15 00:00:00,235
2021-03-16 00:00:00,227
2021-03-17 00:00:00,223
2021-03-18 00:00:00,219
2021-03-19 00:00:00,214
2021-03-20 00:00:00,211
2021-03-21 00:00:00,205
2021-03-22 00:00:00,203
2021-03-23 00:00:00,200
2021-03-24 00:00:00,199
2021-03-25 00:00:00,200
2021-03-26 00:00:00,198
2021-03-27 00:00:00,201
2021-03-28 00:00:00,199
2021-03-29 00:00:00,200
2021-03-30 00:00:00,198
2021-03-31 00:00:00,197
2021-04-01 00:00:00,199
2021-04-02 00:00:00,202
2021-04-03 00:00:00,201
2021-04-04 00:00:00,200
2021-04-05 00:00:00,199
2021-04-06 00:00:00,201
2021-04-07 00:00:00,198
2021-04-08 00:00:00,197
2021-04-09 00:00:00,200
2021-04-10 00:00:00,201
2021-04-11 00:00:00,198
2021-04-12 00:00:00,197
2021-04-13 00:00:00,194
2021-04-14 00:00:00,195
2021-04-15 00:00:00,196
2021-04-16 00:00:00,194
2021-04-17 00:00:00,196
2021-04-18 00:00:00,193
2021-04-19 00:00:00,192
2021-04-20 00:00:00,190
2021-04-21 00:00:00,189
2021-04-22 00:00:00,190
2021-04-23 00:00:00,191
2021-04-24 00:00:00,189
2021-04-25 00:00:00,188
2021-04-26 00:00:00,184
2021-04-27 00:00:00,183
2021-04-28 00:00:00,179
2021-04-29 00:00:00,176
2021-04-30 00:00:00,170
2021-05-01 00:00:00,160
2021-05-02 00:00:00,150
2021-05-03 00:00:00,141
2021-05-04 00:00:00,139
2021-05-05 00:00:00,95
2021-05-06 00:00:00,97
2021-05-07 00:00:00,96
2021-05-08 00:00:00,94
2021-05-09 00:00:00,94
2021-05-10 00:00:00,98
2021-05-11 00:00:00,96
2021-05-12 00:00:00,97
2021-05-13 00:00:00,107
2021-05-14 00:00:00,103
2021-05-15 00:00:00,95
2021-05-16 00:00:00,121
2021-05-17 00:00:00,117
2021-05-18 00:00:00,113
2021-05-19 00:00:00,131
2021-05-20 00:00:00,132
2021-05-21 00:00:00,129
2021-05-22 00:00:00,118
2021-05-23 00:00:00,107
2021-05-24 00:00:00,81
2021-05-25 00:00:00,78
2021-05-26 00:00:00,74
2021-05-27 00:00:00,75
2021-05-28 00:00:00,85
2021-05-29 00:00:00,81
2021-05-30 00:00:00,86
2021-05-31 00:00:00,73
2021-06-01 00:00:00,72
2021-06-02 00:00:00,74
2021-06-03 00:00:00,71
2021-06-04 00:00:00,69
2021-06-05 00:00:00,73
2021-06-06 00:00:00,71
2021-06-07 00:00:00,65
2021-06-08 00:00:00,64
2021-06-09 00:00:00,60
2021-06-10 00:00:00,61
2021-06-11 00:00:00,59
2021-06-12 00:00:00,60
2021-06-13 00:00:00,58
2021-06-14 00:00:00,61
2021-06-15 00:00:00,62
2021-06-16 00:00:00,61
2021-06-17 00:00:00,63
2021-06-18 00:00:00,66
2021-06-19 00:00:00,70
2021-06-20 00:00:00,72
2021-06-21 00:00:00,76
2021-06-22 00:00:00,90
2021-06-23 00:00:00,101
2021-06-24 00:00:00,129
2021-06-25 00:00:00,166
2021-06-26 00:00:00,212
2021-06-27 00:00:00,207
2021-06-28 00:00:00,190
2021-06-29 00:00:00,165
2021-06-30 00:00:00,171
2021-07-01 00:00:00,192
2021-07-02 00:00:00,197
2021-07-03 00:00:00,189
2021-07-04 00:00:00,191
2021-07-05 00:00:00,198
2021-07-06 00:00:00,196
2021-07-07 00:00:00,203
2021-07-08 00:00:00,227
2021-07-09 00:00:00,255
2021-07-10 00:00:00,267
2021-07-11 00:00:00,281
2021-07-12 00:00:00,271
2021-07-13 00:00:00,219
2021-07-14 00:00:00,240
2021-07-15 00:00:00,263
2021-07-16 00:00:00,264
2021-07-17 00:00:00,268
2021-07-18 00:00:00,279
2021-07-19 00:00:00,280
2021-07-20 00:00:00,281
2021-07-21 00:00:00,289
2021-07-22 00:00:00,301
2021-07-23 00:00:00,331
2021-07-24 00:00:00,329
2021-07-25 00:00:00,336
2021-07-26 00:00:00,335
2021-07-27 00:00:00,337
2021-07-28 00:00:00,370
2021-07-29 00:00:00,412
2021-07-30 00:00:00,453
2021-07-31 00:00:00,461
2021-08-01 00:00:00,463
2021-08-02 00:00:00,466
2021-08-03 00:00:00,465
2021-08-04 00:00:00,463
2021-08-05 00:00:00,461
2021-08-06 00:00:00,466
2021-08-07 00:00:00,464
2021-08-08 00:00:00,467
2021-08-09 00:00:00,465
2021-08-10 00:00:00,449
2021-08-11 00:00:00,451
2021-08-12 00:00:00,454
2021-08-13 00:00:00,444
2021-08-14 00:00:00,442
2021-08-15 00:00:00,447
2021-08-16 00:00:00,443
2021-08-17 00:00:00,448
2021-08-18 00:00:00,446
2021-08-19 00:00:00,445
2021-08-20 00:00:00,444
2021-08-21 00:00:00,442
2021-08-22 00:00:00,440
2021-08-23 00:00:00,437
2021-08-24 00:00:00,434
2021-08-25 00:00:00,430
2021-08-26 00:00:00,432
2021-08-27 00:00:00,434
2021-08-28 00:00:00,431
2021-08-29 00:00:00,436
2021-08-30 00:00:00,438
2021-08-31 00:00:00,441
2021-09-01 00:00:00,443
2021-09-02 00:00:00,447
2021-09-03 00:00:00,450
2021-09-04 00:00:00,452
2021-09-05 00:00:00,456
2021-09-06 00:00:00,461
2021-09-07 00:00:00,460
2021-09-08 00:00:00,465
2021-09-09 00:00:00,468
2021-09-10 00:00:00,467
2021-09-11 00:00:00,465
2021-09-12 00:00:00,470
2021-09-13 00:00:00,469
2021-09-14 00:00:00,471
2021-09-15 00:00:00,473
2021-09-16 00:00:00,477
2021-09-17 00:00:00,480
2021-09-18 00:00:00,488
2021-09-19 00:00:00,502
2021-09-20 00:00:00,512
2021-09-21 00:00:00,524
2021-09-22 00:00:00,531
2021-09-23 00:00:00,542
2021-09-24 00:00:00,556
2021-09-25 00:00:00,569
2021-09-26 00:00:00,574
2021-09-27 00:00:00,581
2021-09-28 00:00:00,586
2021-09-29 00:00:00,590
2021-09-30 00:00:00,607
2021-10-01 00:00:00,615
2021-10-02 00:00:00,614
2021-10-03 00:00:00,620
2021-10-04 00:00:00,626
2021-10-05 00:00:00,631
2021-10-06 00:00:00,638
2021-10-07 00:00:00,644
2021-10-08 00:00:00,657
2021-10-09 00:00:00,668
2021-10-10 00:00:00,687
2021-10-11 00:00:00,705
2021-10-12 00:00:00,726
2021-10-13 00:00:00,735
2021-10-14 00:00:00,754
2021-10-15 00:00:00,791
2021-10-16 00:00:00,838
2021-10-17 00:00:00,896
2021-10-18 00:00:00,915
2021-10-19 00:00:00,921
2021-10-20 00:00:00,930
2021-10-21 00:00:00,937
2021-10-22 00:00:00,948
2021-10-23 00:00:00,997
2021-10-24 00:00:00,1093
2021-10-25 00:00:00,1184
2021-10-26 00:00:00,1278
2021-10-27 00:00:00,1297
2021-10-28 00:00:00,1357
2021-10-29 00:00:00,1389
2021-10-30 00:00:00,1405
2021-10-31 00:00:00,1458
2021-11-01 00:00:00,1504
2021-11-02 00:00:00,1547
2021-11-03 00:00:00,1596
2021-11-04 00:00:00,1603
2021-11-05 00:00:00,1610
2021-11-06 00:00:00,1621
2021-11-07 00:00:00,1695
2021-11-08 00:00:00,1736
2021-11-09 00:00:00,1783
2021-11-10 00:00:00,1785
2021-11-11 00:00:00,1791
2021-11-12 00:00:00,1798
2021-11-13 00:00:00,1790
2021-11-14 00:00:00,1792
2021-11-15 00:00:00,1789
2021-11-16 00:00:00,1793
2021-11-17 00:00:00,1785
2021-11-18 00:00:00,1781
2021-11-19 00:00:00,1764
2021-11-20 00:00:00,1762
2021-11-21 00:00:00,1661
2021-11-22 00:00:00,1648
2021-11-23 00:00:00,1529
2021-11-24 00:00:00,1201
2021-11-25 00:00:00,1215
2021-11-26 00:00:00,1184
2021-11-27 00:00:00,1056
2021-11-28 00:00:00,974
2021-11-29 00:00:00,941
2021-11-30 00:00:00,908
2021-12-01 00:00:00,904
2021-12-02 00:00:00,902
2021-12-03 00:00:00,897
2021-12-04 00:00:00,887
2021-12-05 00:00:00,878
2021-12-06 00:00:00,865
2021-12-07 00:00:00,781
2021-12-08 00:00:00,752
2021-12-09 00:00:00,749
2021-12-10 00:00:00,746
2021-12-11 00:00:00,733
2021-12-12 00:00:00,717
2021-12-13 00:00:00,694
2021-12-14 00:00:00,678
2021-12-15 00:00:00,651
2021-12-16 00:00:00,626
2021-12-17 00:00:00,609
2021-12-18 00:00:00,593
2021-12-19 00:00:00,588
2021-12-20 00:00:00,582
2021-12-21 00:00:00,574
2021-12-22 00:00:00,565
2021-12-23 00:00:00,559
2021-12-24 00:00:00,537
2021-12-25 00:00:00,516
2021-12-26 00:00:00,498
2021-12-27 00:00:00,478
2021-12-28 00:00:00,443
2021-12-29 00:00:00,419
2021-12-30 00:00:00,397
2021-12-31 00:00:00,364
2022-01-01 00:00:00,312
2022-01-02 00:00:00,283
2022-01-03 00:00:00,231
2022-01-04 00:00:00,219
2022-01-05 00:00:00,216
2022-01-06 00:00:00,209
2022-01-07 00:00:00,202
2022-01-08 00:00:00,195
2022-01-09 00:00:00,206
2022-01-10 00:00:00,210
2022-01-11 00:00:00,208
2022-01-12 00:00:00,227
2022-01-13 00:00:00,225
2022-01-14 00:00:00,246
2022-01-15 00:00:00,318
2022-01-16 00:00:00,367
2022-01-17 00:00:00,339
2022-01-18 00:00:00,379
2022-01-19 00:00:00,477
2022-01-20 00:00:00,527
2022-01-21 00:00:00,779
2022-01-22 00:00:00,863
2022-01-23 00:00:00,934
2022-01-24 00:00:00,1192
2022-01-25 00:00:00,1150
2022-01-26 00:00:00,1205